,Player,Team,Annual Salary
0,"Stephen Curry, PG",Golden State Warriors,"$37,457,154"
1,"Blake Griffin, PF",Detroit Pistons,"$32,088,932"
2,"Paul Millsap, PF",Denver Nuggets,"$31,269,231"
3,"Kyle Lowry, PG",Toronto Raptors,"$31,200,000"
4,"Gordon Hayward, SF",Boston Celtics,"$29,727,900"
5,"Mike Conley, PG",Memphis Grizzlies,"$28,530,608"
6,"Russell Westbrook, PG",Oklahoma City Thunder,"$28,530,608"
7,"James Harden, SG",Houston Rockets,"$28,299,399"
8,"DeMar DeRozan, SF",Toronto Raptors,"$27,739,975"
9,"Al Horford, C",Boston Celtics,"$27,734,406"
10,"Carmelo Anthony, PF",Oklahoma City Thunder,"$26,243,760"
11,"Damian Lillard, PG",Portland Trail Blazers,"$26,153,057"
12,"Otto Porter Jr., SF",Washington Wizards,"$26,011,913"
13,"Jrue Holiday, PG",New Orleans Pelicans,"$25,686,667"
14,"Bradley Beal, SG",Washington Wizards,"$25,434,263"
15,"Andre Drummond, C",Detroit Pistons,"$25,434,263"
16,"Hassan Whiteside, C",Miami Heat,"$25,434,262"
17,"Joel Embiid, C",Philadelphia 76ers,"$25,250,000"
18,"Chris Paul, PG",Houston Rockets,"$24,599,495"
19,"Giannis Antetokounmpo, PF",Milwaukee Bucks,"$24,157,303"
20,"Kevin Love, PF",Cleveland Cavaliers,"$24,119,025"
21,"Nicolas Batum, PF",Charlotte Hornets,"$24,000,000"
22,"CJ McCollum, SG",Portland Trail Blazers,"$23,962,573"
23,"Dwight Howard, C",Charlotte Hornets,"$23,819,725"
24,"Anthony Davis, PF",New Orleans Pelicans,"$23,775,506"
25,"Harrison Barnes, SF",Dallas Mavericks,"$23,112,004"
26,"Chandler Parsons, SF",Memphis Grizzlies,"$23,112,004"
27,"Brook Lopez, C",Los Angeles Lakers,"$22,642,650"
28,"Marc Gasol, C",Memphis Grizzlies,"$22,642,350"
29,"DeAndre Jordan, C",LA Clippers,"$22,642,350"
30,"Steven Adams, C",Oklahoma City Thunder,"$22,471,910"
31,"Rudy Gobert, C",Utah Jazz,"$21,924,719"
32,"Serge Ibaka, C",Toronto Raptors,"$21,666,667"
